dataset_type,category,label,risk,message,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
whatsapp,legitimate,legitimate,SAFE,"
Dear Customer,

Your account statement is ready.

Visit:

https://sbi.co.in
",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,75,LOW
whatsapp,legitimate,legitimate,SAFE,"
Reminder:

Your appointment is confirmed.

Thank you.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
whatsapp,reward_scam,reward_scam,HIGH,"
Festival Reward.

Verify account now.

https://verify-bank-now.com
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,45,MEDIUM
whatsapp,lottery_scam,lottery_scam,CRITICAL,"
You are today's lucky winner.

Verify immediately.

https://reward-center.xyz
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,45,MEDIUM
whatsapp,fake_customer_care,fake_customer_care,HIGH,"
Your account has been blocked.

Contact support immediately.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,apk_scam,apk_scam,CRITICAL,"
Install this security update.

Download APK:

https://reward-center.xyz/update.apk
",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,60,LOW
whatsapp,upi_scam,upi_scam,CRITICAL,"
Cashback waiting.

Click below and approve payment request.

https://secure-login-now.in
",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
whatsapp,upi_scam,upi_scam,CRITICAL,"
Refund of ₹999 pending.

Approve Collect Request in Amazon Pay.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,SAFE
whatsapp,reward_scam,reward_scam,HIGH,"
Festival Reward.

Verify account now.

https://reward-center.xyz
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
whatsapp,investment_scam,investment_scam,CRITICAL,"
Invest ₹500 today.

Earn ₹10,000 every week.

Limited Offer.

https://kyc-update.live
",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,75,LOW
whatsapp,job_scam,job_scam,HIGH,"
Congratulations!

You have been selected as a Cloud Engineer at HCL.

Salary:
₹18 LPA

Pay registration fee of ₹1,500.

Contact immediately.
",0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,70,LOW
