dataset_type,category,label,risk,content,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
qr,upi_qr,upi_scam,CRITICAL,upi://pay?pn=Cashback&am=₹499,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,malicious_qr,malicious,CRITICAL,https://wallet-verify.net,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
qr,wifi_qr,wifi_qr,MEDIUM,WIFI:T:WPA;S:Free_Public_WiFi;P:12345678;;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,safe_qr,legitimate,SAFE,https://hdfcbank.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Refund&am=₹25,000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,malicious_qr,malicious,CRITICAL,https://account-safe.co/login,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,url_qr,url_qr,HIGH,https://upi-security-alert.in/reward,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
qr,safe_qr,legitimate,SAFE,WIFI:T:WPA;S:TrustLens;P:TrustLens@123;;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,malicious_qr,malicious,CRITICAL,https://kyc-update.live,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Cashback&am=₹1,500",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,safe_qr,legitimate,SAFE,https://icicibank.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
qr,malicious_qr,malicious,CRITICAL,https://account-safe.co,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,malicious_qr,malicious,CRITICAL,https://upi-security-alert.in/login,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
qr,wifi_qr,wifi_qr,MEDIUM,WIFI:T:WPA2;S:Airport_Free;P:password123;;,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Refund&am=₹2,999",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,safe_qr,legitimate,SAFE,"upi://pay?pn=Amazon Pay&am=₹10,000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,safe_qr,legitimate,SAFE,"upi://pay?pn=Google Pay&am=₹2,999",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Refund&am=₹10,000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,url_qr,url_qr,HIGH,https://account-safe.co,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,safe_qr,legitimate,SAFE,"upi://pay?pn=Paytm&am=₹10,000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
qr,url_qr,url_qr,HIGH,https://secure-login-now.in/reward,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Refund&am=₹5,000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,safe_qr,legitimate,SAFE,https://uidai.gov.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
qr,upi_qr,upi_scam,CRITICAL,upi://pay?pn=Refund&am=₹999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Cashback&am=₹2,999",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
qr,safe_qr,legitimate,SAFE,https://axisbank.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
qr,upi_qr,upi_scam,CRITICAL,"upi://pay?pn=Refund&am=₹50,000",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,SAFE
qr,url_qr,url_qr,HIGH,https://wallet-verify.net/reward,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
qr,malicious_qr,malicious,CRITICAL,https://secure-login-now.in/login,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,malicious_qr,malicious,CRITICAL,https://kyc-update.live/login,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
qr,safe_qr,legitimate,SAFE,upi://pay?pn=CRED&am=₹499,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
