dataset_type,category,label,risk,url,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
url,government_scam,government_scam,HIGH,https://verify-bank-now.com/aadhaar,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
url,banking_phishing,phishing,CRITICAL,https://wallet-verify.net/verify,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,banking_phishing,phishing,CRITICAL,https://kyc-update.live/verify,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,legitimate,legitimate,SAFE,https://uidai.gov.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,courier_scam,courier_scam,HIGH,https://verify-bank-now.com/parcel,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
url,reward_scam,reward_scam,HIGH,https://account-safe.co/cashback,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,courier_scam,courier_scam,HIGH,https://upi-security-alert.in/tracking,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,crypto_scam,crypto_scam,CRITICAL,https://reward-center.xyz/crypto,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,65,LOW
url,banking_phishing,phishing,CRITICAL,https://reward-center.xyz/kyc,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,crypto_scam,crypto_scam,CRITICAL,https://kyc-update.live/crypto,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,80,SAFE
url,government_scam,government_scam,HIGH,https://account-safe.co/aadhaar,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,lottery_scam,lottery_scam,CRITICAL,https://upi-security-alert.in/winner,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
url,lottery_scam,lottery_scam,CRITICAL,https://secure-login-now.in/winner,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,courier_scam,courier_scam,HIGH,https://upi-security-alert.in/parcel,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,government_scam,government_scam,HIGH,https://secure-login-now.in/refund,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,75,LOW
url,lottery_scam,lottery_scam,CRITICAL,https://verify-bank-now.com/claim,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
url,courier_scam,courier_scam,HIGH,https://account-safe.co/tracking,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,government_scam,government_scam,HIGH,https://reward-center.xyz/refund,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,75,LOW
url,lottery_scam,lottery_scam,CRITICAL,https://wallet-verify.net/winner,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
url,crypto_scam,crypto_scam,CRITICAL,https://upi-security-alert.in/trade,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,reward_scam,reward_scam,HIGH,https://secure-login-now.in/cashback,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,legitimate,legitimate,SAFE,https://www.npci.org.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,banking_phishing,phishing,CRITICAL,https://kyc-update.live/kyc,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,banking_phishing,phishing,CRITICAL,https://upi-security-alert.in/verify,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,courier_scam,courier_scam,HIGH,https://account-safe.co/parcel,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,reward_scam,reward_scam,HIGH,https://kyc-update.live/cashback,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,courier_scam,courier_scam,HIGH,https://wallet-verify.net/parcel,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,banking_phishing,phishing,CRITICAL,https://verify-bank-now.com/login,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
url,government_scam,government_scam,HIGH,https://kyc-update.live/aadhaar,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,government_scam,government_scam,HIGH,https://kyc-update.live/refund,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,SAFE
url,banking_phishing,phishing,CRITICAL,https://wallet-verify.net/login,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,lottery_scam,lottery_scam,CRITICAL,https://kyc-update.live/claim,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
url,courier_scam,courier_scam,HIGH,https://secure-login-now.in/parcel,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,legitimate,legitimate,SAFE,https://sbi.co.in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
url,banking_phishing,phishing,CRITICAL,https://secure-login-now.in/login,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,courier_scam,courier_scam,HIGH,https://secure-login-now.in/tracking,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,lottery_scam,lottery_scam,CRITICAL,https://upi-security-alert.in/claim,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
url,courier_scam,courier_scam,HIGH,https://verify-bank-now.com/tracking,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
url,crypto_scam,crypto_scam,CRITICAL,https://reward-center.xyz/trade,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
url,legitimate,legitimate,SAFE,https://hdfcbank.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,SAFE
url,crypto_scam,crypto_scam,CRITICAL,https://secure-login-now.in/crypto,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65,LOW
